iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
66,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,94,0.057118,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
67,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,85,0.059917,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
68,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,87,0.05512,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
69,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,89,0.056959,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
70,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,94,0.059513,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
71,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,91,0.057804,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
72,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,94,0.058388,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
73,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,88,0.056223,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
74,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,88,0.061112,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
75,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,97,0.059729,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
76,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,93,0.072081,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
77,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,95,0.054894,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
78,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,91,0.053166,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
79,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,88,0.055104,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
80,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,86,0.054259,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
81,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,91,0.055451,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
82,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,90,0.057435,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
83,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,92,0.055553,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
84,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,89,0.058207,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
85,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,90,0.056841,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
86,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,91,0.056062,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
87,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,87,0.054551,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
88,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,90,0.06092,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
89,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,89,0.05482,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
90,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,92,0.056024,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
91,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,91,0.057787,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
92,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,87,0.060335,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
93,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,87,0.055966,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
94,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,89,0.059439,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
95,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,90,0.056879,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
96,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,87,0.056051,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
97,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,89,0.054758,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
98,TID,True,0.007327230059458783,0.004858001719800001,5,5,100,86,0.057448,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
99,idID,True,0.007327230059458783,0.004858001719800001,5,5,100,91,0.057982,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010112399999999999, 0.010014, 0.010014, 0.9598106, 0.010049]","[4, 8, 18, 25, 27]"
