iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
33,0.18531305404442128,0.18796038338791302,0.003992691061,[0.         0.         0.         0.         0.27982964 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.12101189 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
34,0.1850615691357115,0.19035622782269498,0.003992691061,[0.         0.         0.         0.         0.28103976 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.11980178 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
35,0.1847556743865354,0.1847556743865354,0.003992691061,[0.         0.         0.         0.         0.282238   0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.1186264  0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.11980178 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
36,0.1847556743865354,0.1847556743865354,0.003992691061,[0.         0.         0.         0.         0.282238   0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.1186264  0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.11980178 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
37,0.1847556743865354,0.1873950411634859,0.003992691061,[0.         0.         0.         0.         0.282238   0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.1186264  0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.11980178 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
38,0.1847556743865354,0.1900344079404364,0.003992691061,[0.         0.         0.         0.         0.282238   0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.1186264  0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.11980178 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
39,0.1847556743865354,0.19267377471738692,0.003992691061,[0.         0.         0.         0.         0.282238   0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.1186264  0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.11980178 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
40,0.1847556743865354,0.19531314149433743,0.003992691061,[0.         0.         0.         0.         0.282238   0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.1186264  0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.11980178 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
41,0.1847556743865354,0.1979525082712879,0.003992691061,[0.         0.         0.         0.         0.282238   0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.1186264  0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.11980178 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
42,0.1847556743865354,0.20059187504823842,0.003992691061,[0.         0.         0.         0.         0.282238   0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.1186264  0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.11980178 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
43,0.18450600583023574,0.20298157326888927,0.003992691061,[0.         0.         0.         0.         0.28343602 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.1186264  0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.11860376 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
44,0.18450600583023574,0.18450600583023574,0.003992691061,[0.         0.         0.         0.         0.28343602 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.1186264  0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.11860376 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
45,0.18420234481251177,0.18683814489580086,0.003992691061,[0.         0.         0.         0.         0.28462228 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11744014 0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.11860376 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
46,0.18389218465396998,0.18389218465396998,0.003992691061,[0.         0.         0.         0.         0.28579668 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11744014 0.11626478 0.121035   0.         0.         0.         0.         0.         0.         0.11860376 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
47,0.18389218465396998,0.18389218465396998,0.003992691061,[0.         0.         0.         0.         0.28579668 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11744014 0.11626478 0.121035   0.         0.         0.         0.         0.         0.         0.11860376 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
48,0.18389218465396998,0.1865192158633124,0.003992691061,[0.         0.         0.         0.         0.28579668 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11744014 0.11626478 0.121035   0.         0.         0.         0.         0.         0.         0.11860376 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
49,0.18389218465396998,0.18914624707265484,0.003992691061,[0.         0.         0.         0.         0.28579668 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11744014 0.11626478 0.121035   0.         0.         0.         0.         0.         0.         0.11860376 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
50,0.18389218465396998,0.19177327828199725,0.003992691061,[0.         0.         0.         0.         0.28579668 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11744014 0.11626478 0.121035   0.         0.         0.         0.         0.         0.         0.11860376 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
