iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,selection_strategy,tag,X,Z,gls_iter,gls_improve
58,TID,True,0.044223,0.0010050234827,7,7,1000,274,0.546141,100,1000,0.1,0.001,5,15,best,best,gls,"[0.0167839, 0.013943, 0.0159381, 0.8573405, 0.052107, 0.021753, 0.0221355]","[4, 7, 11, 16, 25, 28, 30]",0,False
59,TID,True,0.043583,0.0010003794548,7,7,1000,246,0.523653,100,1000,0.1,0.001,5,15,best,best,gls,"[0.0167839, 0.013943, 0.0159381, 0.85955405, 0.052107, 0.021753, 0.01992195]","[4, 7, 11, 16, 25, 28, 30]",0,False
60,TID,True,0.043262,0.00100940520083,7,7,1000,229,0.528949,100,1000,0.1,0.001,5,15,best,best,gls,"[0.018377710000000002, 0.013943, 0.014344289999999999, 0.85955405, 0.052107, 0.021753, 0.01992195]","[4, 7, 11, 16, 25, 28, 30]",0,False
61,TID,True,0.042652,0.00100234781015,7,7,1000,263,0.523549,100,1000,0.1,0.001,5,15,best,best,gls,"[0.018377710000000002, 0.013943, 0.012909860999999998, 0.860988479, 0.052107, 0.021753, 0.01992195]","[4, 7, 11, 16, 25, 28, 30]",0,False
62,TID,True,0.042269,0.00100012030295,7,7,1000,230,0.530878,100,1000,0.1,0.001,5,15,best,best,gls,"[0.018377710000000002, 0.013943, 0.012909860999999998, 0.860988479, 0.0542823, 0.0195777, 0.01992195]","[4, 7, 11, 16, 25, 28, 30]",0,False
63,TID,True,0.041985,0.00101000312591,7,7,1000,233,0.512715,100,1000,0.1,0.001,5,15,best,best,gls,"[0.020335480000000003, 0.013943, 0.012909860999999998, 0.860988479, 0.0542823, 0.01761993, 0.01992195]","[4, 7, 11, 16, 25, 28, 30]",0,False
64,TID,True,0.041334,0.001000250494655,7,7,1000,278,0.543295,100,1000,0.1,0.001,5,15,best,best,gls,"[0.020335480000000003, 0.013943, 0.012909860999999998, 0.862750472, 0.0542823, 0.015857937, 0.01992195]","[4, 7, 11, 16, 25, 28, 30]",0,False
65,TID,True,0.041056,0.001000031589555,7,7,1000,211,0.523633,100,1000,0.1,0.001,5,15,best,best,gls,"[0.020335480000000003, 0.0125487, 0.012909860999999998, 0.862750472, 0.0556766, 0.015857937, 0.01992195]","[4, 7, 11, 16, 25, 28, 30]",0,False
66,TID,True,0.040793,0.0010073424438393,7,7,1000,215,0.511405,100,1000,0.1,0.001,5,15,best,best,gls,"[0.021626466100000002, 0.0125487, 0.011618874899999998, 0.862750472, 0.0556766, 0.015857937, 0.01992195]","[4, 7, 11, 16, 25, 28, 30]",0,False
67,TID,True,0.040213,0.0010031628187293002,7,7,1000,278,0.531292,100,1000,0.1,0.001,5,15,best,best,gls,"[0.021626466100000002, 0.0125487, 0.011618874899999998, 0.864742667, 0.0556766, 0.015857937, 0.017929755000000002]","[4, 7, 11, 16, 25, 28, 30]",0,False
68,iDR,True,0.039753,0.001000686248,7,7,1000,231,0.514926,100,1000,0.1,0.001,5,15,best,best,gls,"[0.021665, 0.012571, 0.01164, 0.866295, 0.055777, 0.015886, 0.016166]","[4, 7, 11, 16, 25, 28, 30]",0,False
69,TID,True,0.039479,0.001000210172,7,7,1000,212,0.513705,100,1000,0.1,0.001,5,15,best,best,gls,"[0.021665, 0.012571, 0.010476, 0.866295, 0.056941, 0.015886, 0.016166]","[4, 7, 11, 16, 25, 28, 30]",0,False
70,TID,True,0.037983,0.00101686402,7,7,1000,215,0.524117,100,1000,0.1,0.001,5,15,best,best,gls,"[0.021665, 0.012571, 0.01, 0.866295, 0.056941, 0.015886, 0.016166]","[4, 7, 8, 16, 25, 28, 30]",0,False
71,TID,True,0.037394,0.001008071119,7,7,1000,289,0.503713,100,1000,0.1,0.001,5,15,best,best,gls,"[0.021665, 0.012571, 0.01, 0.8678836000000001, 0.056941, 0.0142974, 0.016166]","[4, 7, 8, 16, 25, 28, 30]",0,False
72,TID,True,0.036861,0.0010001575081,7,7,1000,255,0.494888,100,1000,0.1,0.001,5,15,best,best,gls,"[0.021665, 0.012571, 0.01, 0.86931334, 0.056941, 0.01286766, 0.016166]","[4, 7, 8, 16, 25, 28, 30]",0,False
73,TID,True,0.03665,0.0010075932546000001,7,7,1000,207,0.50542,100,1000,0.1,0.001,5,15,best,best,gls,"[0.0229221, 0.0113139, 0.01, 0.86931334, 0.056941, 0.01286766, 0.016166]","[4, 7, 8, 16, 25, 28, 30]",0,False
74,TID,True,0.036169,0.0010004710047900002,7,7,1000,250,0.508602,100,1000,0.1,0.001,5,15,best,best,gls,"[0.0229221, 0.0113139, 0.01, 0.870600106, 0.056941, 0.011580894, 0.016166]","[4, 7, 8, 16, 25, 28, 30]",0,False
75,TID,True,0.035943,0.00100029337656,7,7,1000,208,0.491623,100,1000,0.1,0.001,5,15,best,best,gls,"[0.0229221, 0.01018251, 0.01, 0.870600106, 0.05807239, 0.011580894, 0.016166]","[4, 7, 8, 16, 25, 28, 30]",0,False
76,TID,True,0.035422,0.00100282995206,7,7,1000,177,0.506695,100,1000,0.1,0.001,5,15,best,best,gls,"[0.0229221, 0.01, 0.870600106, 0.01, 0.05807239, 0.011580894, 0.016166]","[4, 8, 16, 18, 25, 28, 30]",0,False
77,iDR,True,0.035045,0.001001258911,7,7,1000,193,0.489997,100,1000,0.1,0.001,5,15,best,best,gls,"[0.022974, 0.010023, 0.872585, 0.010023, 0.058205, 0.011607, 0.014583]","[4, 8, 16, 18, 25, 28, 30]",0,False
78,TID,True,0.034837,0.0010000703541999999,7,7,1000,213,0.529228,100,1000,0.1,0.001,5,15,best,best,gls,"[0.022974, 0.010023, 0.872585, 0.010023, 0.0593657, 0.010446299999999999, 0.014583]","[4, 8, 16, 18, 25, 28, 30]",0,False
79,TID,True,0.034691,0.0010035892320999999,7,7,1000,183,0.517119,100,1000,0.1,0.001,5,15,best,best,gls,"[0.022974, 0.010023, 0.872585, 0.010023, 0.060824, 0.010446299999999999, 0.0131247]","[4, 8, 16, 18, 25, 28, 30]",0,False
80,TID,True,0.034303,0.00100083567004,7,7,1000,186,0.519373,100,1000,0.1,0.001,5,15,best,best,gls,"[0.022974, 0.010023, 0.8738974700000001, 0.010023, 0.060824, 0.010446299999999999, 0.01181223]","[4, 8, 16, 18, 25, 28, 30]",0,False
81,TID,True,0.034183,0.0010036859611390002,7,7,1000,168,0.533329,100,1000,0.1,0.001,5,15,best,best,gls,"[0.022974, 0.010023, 0.8738974700000001, 0.010023, 0.062005223000000005, 0.010446299999999999, 0.010631007]","[4, 8, 16, 18, 25, 28, 30]",0,False
82,TID,True,0.033627,0.0010017641644790001,7,7,1000,232,0.53972,100,1000,0.1,0.001,5,15,best,best,gls,"[0.022974, 0.010023, 0.8738974700000001, 0.010023, 0.062005223000000005, 0.01, 0.010446299999999999]","[4, 8, 16, 18, 25, 27, 28]",0,False
83,iDR,False,0.033627,0.0010017641644790001,7,7,1000,222,0.50978,100,1000,0.1,0.001,5,15,best,best,gls,"[0.022974, 0.010023, 0.8738974700000001, 0.010023, 0.062005223000000005, 0.01, 0.010446299999999999]","[4, 8, 16, 18, 25, 27, 28]",0,False
84,iDR,False,0.033627,0.0010017641644790001,7,7,1000,232,0.539039,100,1000,0.1,0.001,5,15,best,best,gls,"[0.022974, 0.010023, 0.8738974700000001, 0.010023, 0.062005223000000005, 0.01, 0.010446299999999999]","[4, 8, 16, 18, 25, 27, 28]",0,False
85,iDR,False,0.033627,0.0010017641644790001,7,7,1000,251,0.511193,100,1000,0.1,0.001,5,15,best,best,gls,"[0.022974, 0.010023, 0.8738974700000001, 0.010023, 0.062005223000000005, 0.01, 0.010446299999999999]","[4, 8, 16, 18, 25, 27, 28]",0,False
